date,year,month_num,month,inflation_type,source_type,value
1995-06-01,1995,6,июнь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,107.56
1995-06-01,1995,6,июнь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,104.58
1995-06-01,1995,6,июнь,services,Индексы потребительских цен на услуги по Российской Федерации,108.73
1995-06-01,1995,6,июнь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,106.66
1995-07-01,1995,7,июль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,104.47
1995-07-01,1995,7,июль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.29
1995-07-01,1995,7,июль,services,Индексы потребительских цен на услуги по Российской Федерации,109.68
1995-07-01,1995,7,июль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,105.38
1995-08-01,1995,8,август,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,102.72
1995-08-01,1995,8,август,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,106.24
1995-08-01,1995,8,август,services,Индексы потребительских цен на услуги по Российской Федерации,107.86
1995-08-01,1995,8,август,total,Индексы потребительских цен на товары и услуги по Российской Федерации,104.56
1995-09-01,1995,9,сентябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,102.76
1995-09-01,1995,9,сентябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,106.04
1995-09-01,1995,9,сентябрь,services,Индексы потребительских цен на услуги по Российской Федерации,107.1
1995-09-01,1995,9,сентябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,104.46
1995-10-01,1995,10,октябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,103.41
1995-10-01,1995,10,октябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,105.05
1995-10-01,1995,10,октябрь,services,Индексы потребительских цен на услуги по Российской Федерации,108.91
1995-10-01,1995,10,октябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,104.72
1995-11-01,1995,11,ноябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,103.96
1995-11-01,1995,11,ноябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,104.63
1995-11-01,1995,11,ноябрь,services,Индексы потребительских цен на услуги по Российской Федерации,106.61
1995-11-01,1995,11,ноябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,104.56
1995-12-01,1995,12,декабрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,103.4
1995-12-01,1995,12,декабрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,103.01
1995-12-01,1995,12,декабрь,services,Индексы потребительских цен на услуги по Российской Федерации,102.95
1995-12-01,1995,12,декабрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,103.2
1996-01-01,1996,1,январь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,103.95
1996-01-01,1996,1,январь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,102.69
1996-01-01,1996,1,январь,services,Индексы потребительских цен на услуги по Российской Федерации,108.05
1996-01-01,1996,1,январь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,104.11
1996-02-01,1996,2,февраль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,102.4
1996-02-01,1996,2,февраль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,102.2
